# First column is names of people, the rest of the columns are marked with a number. Each number is roughly a month (4 weeks) starting from 4/9/17. Some months or weeks are not included e.g christmas holiday
NAME;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
LB;37;47;46;24;28;24;23;19;22;20;30;15;16;11;30;22;1;4;11;17;1;4;0;0;2;0;2;7
GF;41;35;47;16;10;36;29;57;44;43;4;2;1;15;4;2;3;4;1;1;3;1;0;0;0;0;0;0
JK;46;24;42;17;25;24;14;20;21;9;19;25;22;27;29;13;0;0;0;0;0;0;2;0;0;0;0;0
BG;27;30;23;12;21;24;25;26;30;29;19;22;18;34;23;20;19;22;28;13;19;33;23;42;16;32;26;19
CJ;20;5;0;0;0;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
YG;41;48;18;15;14;5;4;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ML;6;18;43;27;17;19;13;26;19;15;0;10;9;5;14;22;12;18;16;32;26;20;4;11;0;0;0;0
MP;34;31;30;19;25;27;19;29;16;12;8;21;35;28;33;20;13;22;1;22;18;27;24;11;33;23;34;26
GR;14;12;23;13;17;16;10;15;10;9;10;16;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DB;3;13;8;4;5;5;1;7;8;0;11;15;5;27;24;18;11;23;15;4;4;8;14;7;17;17;22;15
MH;26;6;14;6;18;16;30;40;20;17;11;8;10;17;18;2;12;9;9;13;8;4;10;7;5;0;2;0
JS;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TL;0;0;0;20;37;37;29;36;36;24;31;37;41;16;29;6;29;23;29;46;47;20;26;18;0;0;0;0
TF;0;0;0;0;0;0;0;0;3;7;5;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MK;0;0;0;0;0;0;0;0;0;0;0;0;7;21;14;11;16;25;26;22;11;12;14;8;15;20;12;21
IV;0;0;0;0;0;0;0;0;0;0;0;0;1;6;12;2;7;11;8;6;9;7;3;4;3;9;13;22
CC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;38;35;33;36;13;40;28;9;10;19;5;8;18
RS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;12;19;18;23;19;15;14;13;10;17;18;16;13
BM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0
LC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
TOTAL;295;270;294;173;217;234;198;283;232;187;148;179;206;207;285;194;177;212;203;208;201;178;142;128;127;124;135;141
