Table 1
date,temperaturemin,precipitation,,,,
2007-01-06,50.0,0.13,,,,
2007-01-09,30.0,0.0,,,,
2007-01-14,50.0,0.0,,,,
2007-01-15,57.0,0.0,,,,
2007-01-20,26.1,0.0,,,,
2007-01-22,33.1,0.08,,,,
2007-01-24,30.0,0.0,,,,
2007-01-27,32.0,0.0,,,,
2007-01-30,24.1,0.0,,,,
2007-02-08,27.0,0.0,,,,
2007-02-12,26.1,0.0,,,,
2007-02-13,37.9,0.59,,,,
2007-02-17,19.0,0.0,,,,
2007-02-21,50.0,0.01,,,,
2007-02-23,37.0,0.0,,,,
2007-02-28,37.9,0.0,,,,
2007-03-01,41.0,0.2,,,,
2007-03-11,39.9,0.0,,,,
2007-03-15,57.0,0.0,,,,
2007-03-17,33.1,0.0,,,,
2007-03-21,50.0,0.0,,,,
2007-03-23,53.1,0.0,,,,
2007-03-26,44.1,0.0,,,,
2007-04-03,53.1,0.0,,,,
2007-04-05,41.0,0.0,,,,
2007-04-08,27.0,0.0,,,,
2007-04-11,46.0,0.73,,,,
2007-04-15,42.1,1.76,,,,
2007-04-17,46.9,0.0,,,,
2007-04-18,42.1,0.0,,,,
2007-04-19,44.1,0.04,,,,
2007-04-21,39.9,0.0,,,,
2007-04-25,61.0,0.0,,,,
2007-04-29,53.1,0.0,,,,
2007-05-10,63.0,0.0,,,,
2007-05-19,43.0,0.0,,,,
2007-05-21,54.0,0.0,,,,
2007-06-02,66.0,0.13,,,,
2007-06-08,73.0,0.0,,,,
2007-06-10,69.1,0.0,,,,
2007-06-18,63.0,0.0,,,,
2007-07-11,70.0,0.82,,,,
2007-07-13,64.0,0.0,,,,
2007-07-16,70.0,0.0,,,,
2007-07-18,71.1,0.08,,,,
2007-07-19,71.1,0.0,,,,
2007-07-21,62.1,0.0,,,,
2007-07-29,66.9,0.0,,,,
2007-07-31,70.0,0.0,,,,
2007-08-01,69.1,0.0,,,,
2007-08-08,75.9,0.17,,,,
2007-08-17,73.9,0.01,,,,
2007-08-19,70.0,0.0,,,,
2007-08-25,75.0,0.0,,,,
2007-09-10,66.9,0.0,,,,
2007-09-28,64.0,0.0,,,,
2007-09-29,50.0,0.0,,,,
2007-09-30,48.0,0.0,,,,
2007-10-01,53.1,0.0,,,,
2007-10-03,63.0,0.0,,,,
2007-10-07,64.0,0.0,,,,
2007-10-08,64.9,0.0,,,,
2007-10-11,51.1,0.0,,,,
2007-10-24,70.0,1.72,,,,
2007-10-29,37.0,0.0,,,,
2007-10-30,33.1,0.0,,,,
2007-11-01,53.1,0.0,,,,
2007-11-07,30.0,0.0,,,,
2007-11-09,34.0,0.0,,,,
2007-11-17,28.0,0.0,,,,
2007-11-28,32.0,0.0,,,,
2007-11-29,36.0,0.0,,,,
2007-11-30,32.0,0.0,,,,
2007-12-08,39.9,0.0,,,,
2007-12-12,55.9,0.0,,,,
2007-12-27,36.0,0.0,,,,
2007-12-29,55.0,0.13,,,,
2008-01-04,17.1,0.0,,,,
2008-01-10,46.9,0.15,,,,
2008-01-13,39.0,0.0,,,,
2008-01-25,21.0,0.0,,,,
2008-01-26,28.9,0.0,,,,
2008-01-28,24.1,0.0,,,,
2008-02-13,34.0,0.92,,,,
2008-02-14,28.0,0.01,,,,
2008-02-16,41.0,0.0,,,,
2008-02-17,37.0,0.0,,,,
2008-02-20,30.9,0.0,,,,
2008-02-26,46.9,0.47,,,,
2008-02-28,21.9,0.0,,,,
2008-03-04,57.9,2.0,,,,
2008-03-05,44.1,0.0,,,,
2008-03-20,41.0,0.0,,,,
2008-03-26,41.0,0.0,,,,
2008-03-30,41.0,0.36,,,,
2008-03-31,44.1,0.98,,,,
2008-04-06,48.9,0.16,,,,
2008-04-07,46.0,0.0,,,,
2008-04-08,46.9,0.0,,,,
2008-04-16,32.0,0.0,,,,
2008-04-22,55.9,0.23,,,,
2008-04-24,51.1,0.0,,,,
2008-04-30,37.9,0.0,,,,
2008-05-04,60.1,0.0,,,,
2008-05-09,63.0,0.43,,,,
2008-05-15,60.1,0.11,,,,
2008-05-17,46.9,0.0,,,,
2008-05-26,55.0,0.0,,,,
2008-05-31,68.0,0.0,,,,
2008-06-05,75.9,0.0,,,,
2008-06-06,75.9,0.0,,,,
2008-06-14,69.1,0.01,,,,
2008-06-16,66.9,0.1,,,,
2008-06-17,68.0,0.0,,,,
2008-07-05,69.1,0.86,,,,
2008-07-09,70.0,0.97,,,,
2008-07-10,71.1,0.0,,,,
2008-07-14,69.1,0.53,,,,
2008-07-15,66.0,0.0,,,,
2008-07-19,70.0,0.76,,,,
2008-07-24,64.9,0.0,,,,
2008-07-26,66.0,0.0,,,,
2008-07-30,75.0,0.0,,,,
2008-08-03,70.0,0.0,,,,
2008-08-08,70.0,0.0,,,,
2008-08-12,55.9,0.0,,,,
2008-08-13,61.0,0.11,,,,
2008-08-17,64.9,0.0,,,,
2008-08-19,66.9,0.0,,,,
2008-08-26,72.0,0.07,,,,
2008-08-30,70.0,0.64,,,,
2008-09-05,64.0,0.47,,,,
